,attribute_1,attribute_2,attribute_3,attribute_4,attribute_5,attribute_6,attribute_7,attribute_8,attribute_9,attribute_10,attribute_11,attribute_12,attribute_13,attribute_14,attribute_15,attribute_16,attribute_17,attribute_18,attribute_19,attribute_20,attribute_21,attribute_22,attribute_23,attribute_24,attribute_25,attribute_26,attribute_27,attribute_28,attribute_29,attribute_30,attribute_31,attribute_32,attribute_33,attribute_34,attribute_35,attribute_36,attribute_37,attribute_38,attribute_39,attribute_40,attribute_41,attribute_42,attribute_43,attribute_44,attribute_45,attribute_46,attribute_47,attribute_48,attribute_49,attribute_50,attribute_51,attribute_52,attribute_53,attribute_54,attribute_55,attribute_56,attribute_57,attribute_58,attribute_59,attribute_60,Class
763,3,3,0,0,2,0,3,2,3,3,2,2,3,2,2,3,2,0,2,2,1,1,1,4,2,2,2,1,0,2,2,4,1,0,2,5,0,4,1,0,4,2,2,1,4,0,4,2,0,2,2,1,0,2,2,1,4,4,0,0,0
764,0,0,0,3,3,2,1,0,1,2,3,2,2,0,3,1,1,3,2,0,2,0,0,4,4,4,1,0,2,2,2,4,0,0,2,5,1,4,0,4,2,2,0,0,4,1,4,4,4,2,0,4,2,4,4,4,4,1,1,4,0
766,0,0,2,1,3,2,1,0,3,2,3,2,2,0,3,1,1,3,2,0,2,0,0,1,4,4,1,0,2,2,2,4,0,0,2,5,1,4,0,2,2,0,2,0,4,2,4,4,1,4,4,1,4,4,4,2,4,1,1,4,0
767,4,4,1,0,2,1,2,2,1,1,3,1,0,2,1,1,3,2,1,1,4,2,4,1,4,1,1,1,0,2,2,4,1,4,1,5,2,4,1,1,4,4,1,1,0,1,1,0,4,2,2,1,1,1,4,2,4,2,2,0,1
768,3,3,0,1,1,3,2,1,3,1,3,2,1,2,3,2,2,1,4,1,2,1,1,1,4,2,2,1,0,2,4,2,2,2,2,1,0,2,2,4,2,2,0,2,1,4,2,2,2,4,2,2,2,2,2,1,4,1,4,0,1
769,3,1,2,2,3,3,2,0,3,3,2,0,1,0,2,3,3,3,1,4,1,1,4,4,1,1,1,1,0,2,0,1,4,2,2,1,1,0,0,4,1,0,1,0,2,2,1,0,2,2,0,0,2,0,4,2,0,0,2,2,1
770,1,1,3,2,0,0,1,1,0,1,1,3,3,1,0,0,1,3,4,2,4,4,1,1,0,1,0,1,0,2,2,0,4,2,1,1,0,2,2,1,1,0,0,2,2,4,2,2,0,2,1,0,0,1,1,2,2,4,2,2,1
771,3,1,2,1,0,1,0,1,1,1,3,1,1,1,2,1,3,1,4,4,4,1,2,2,1,4,2,1,0,2,2,0,1,2,1,5,2,0,4,2,2,0,1,2,0,2,0,1,1,0,4,2,0,0,2,2,0,2,4,4,1
772,1,0,0,1,1,1,3,1,0,3,2,0,1,1,0,1,1,0,2,1,4,1,4,1,1,1,1,1,0,2,4,1,4,2,1,5,1,1,0,2,2,2,0,1,4,4,1,0,1,2,1,1,1,0,1,1,2,4,2,0,1
773,3,3,1,1,3,1,0,1,0,1,0,2,1,1,1,3,1,1,2,2,4,2,4,0,1,1,0,1,0,2,0,4,4,1,1,0,0,1,1,1,2,0,2,0,2,2,2,2,4,2,0,2,1,2,1,1,4,0,1,1,1
774,3,3,1,1,3,2,2,2,1,3,2,0,1,1,1,1,0,1,2,4,1,4,2,2,1,1,0,1,0,2,2,1,1,1,2,1,2,4,2,1,4,2,1,1,1,1,2,2,0,0,2,4,1,4,0,4,2,1,2,4,1
775,1,1,1,0,1,1,1,3,1,0,1,3,1,4,3,3,2,1,4,4,2,4,1,1,4,2,2,1,0,2,2,0,4,2,5,5,1,1,4,2,4,1,1,4,4,1,1,1,1,0,1,1,0,1,1,0,0,2,0,1,1
776,3,4,3,1,3,2,0,0,2,2,2,3,0,2,2,2,1,0,2,2,2,2,1,0,2,1,0,1,0,2,1,4,1,1,5,0,0,2,1,1,0,1,4,2,1,1,4,2,1,4,2,2,4,2,0,1,1,1,4,2,1
777,0,1,1,1,1,3,3,1,0,1,2,3,1,4,3,3,2,1,4,4,2,4,1,1,4,2,2,1,0,2,2,0,4,2,5,5,1,1,4,2,4,1,1,4,4,1,1,1,1,0,1,1,0,1,1,0,0,2,0,1,1
778,1,4,2,0,0,2,2,0,0,1,2,2,2,4,0,2,2,2,1,1,0,2,2,2,1,0,2,1,0,2,1,4,1,1,5,2,0,2,2,1,0,1,4,2,1,1,4,2,1,4,2,2,4,2,0,1,1,1,4,2,1
779,1,4,2,3,1,0,0,0,1,3,2,1,3,1,3,3,2,3,4,1,0,0,4,1,4,1,0,1,0,2,2,1,4,1,1,5,2,2,4,4,2,4,1,4,0,1,1,1,0,4,2,2,0,1,1,1,0,2,0,2,1
780,1,0,3,1,3,3,3,2,3,3,2,3,1,4,1,3,3,3,1,1,0,4,1,4,1,0,0,1,0,2,1,4,1,1,5,2,2,2,0,0,0,4,2,4,2,1,4,2,2,4,2,0,1,1,2,4,4,4,4,2,1
782,1,0,3,1,3,3,3,2,3,3,2,3,1,4,1,3,3,3,4,1,0,4,1,4,1,0,0,1,0,2,1,4,1,1,5,2,2,2,0,0,0,4,2,4,2,1,4,2,2,4,2,0,1,1,2,4,4,4,4,2,1
783,3,3,2,1,1,3,2,2,1,1,1,1,1,1,1,0,3,1,4,1,4,2,4,1,4,4,2,1,0,2,2,0,1,0,0,5,2,1,1,2,4,1,4,4,1,4,2,4,1,4,1,2,4,2,2,2,2,1,0,4,1
784,1,4,2,2,3,2,0,3,2,1,1,1,0,1,1,3,3,1,1,1,1,4,1,4,1,4,1,1,0,2,2,1,0,0,0,5,2,2,2,0,2,0,2,0,1,1,1,4,4,4,2,0,0,2,4,1,0,0,2,2,1
785,1,0,3,2,1,1,3,3,2,0,0,3,3,4,1,3,3,3,4,1,4,2,1,0,1,2,0,1,0,2,2,4,1,4,2,1,1,0,2,1,4,4,0,1,0,4,4,4,0,1,1,1,0,0,0,1,4,2,4,1,1
786,0,1,0,0,1,2,3,2,3,1,3,1,3,2,1,3,3,1,4,1,4,1,1,1,1,4,1,1,0,2,2,1,1,2,5,2,1,0,4,0,0,2,2,1,4,2,4,2,1,4,2,0,1,1,0,4,1,2,0,1,1
787,1,1,1,1,0,3,1,0,1,1,0,2,1,4,1,1,1,1,1,1,4,4,1,4,1,1,1,1,0,2,0,4,1,0,1,5,2,2,1,0,0,2,4,2,2,4,4,4,4,0,4,0,4,1,2,1,0,4,1,2,1
788,3,4,3,3,3,3,1,3,3,1,1,2,1,1,3,3,1,3,2,2,4,4,2,0,1,4,4,4,0,2,1,1,0,2,0,0,1,1,0,2,4,2,1,4,4,1,4,0,4,0,0,1,4,1,1,0,2,4,4,0,1
789,4,1,3,1,0,1,1,1,0,2,0,2,2,1,3,1,3,3,4,4,4,1,4,1,4,4,1,1,0,2,0,2,2,2,0,2,2,1,1,2,0,2,0,0,1,0,4,2,4,4,2,1,4,1,0,1,1,4,2,1,1
790,1,1,1,1,0,2,3,1,0,2,3,1,3,1,1,3,3,2,1,4,1,1,1,1,1,4,2,1,0,2,1,4,2,0,1,0,0,2,1,1,0,2,0,2,0,1,2,0,1,1,0,0,2,2,0,2,1,0,0,1,1
791,1,1,1,3,1,0,1,1,1,1,0,0,3,4,1,1,1,1,2,1,4,2,1,1,4,4,1,4,0,2,2,0,4,0,0,2,4,2,4,2,0,2,1,1,0,1,4,2,2,0,2,0,0,2,1,0,2,1,0,1,1
792,3,3,1,3,1,0,1,0,2,1,2,1,2,1,1,1,2,2,1,4,0,4,4,1,4,1,2,1,0,2,1,4,1,0,1,1,0,4,2,2,0,4,2,0,4,2,0,4,0,4,1,2,1,1,2,1,2,1,4,1,1
793,3,1,3,1,0,2,2,2,1,3,3,1,3,4,2,3,1,1,4,4,4,1,1,4,4,1,1,1,0,2,2,2,1,2,5,2,0,4,2,2,4,2,2,2,1,0,4,2,2,2,4,1,0,2,0,0,2,2,0,4,1
794,0,3,3,2,3,2,0,1,0,3,2,2,3,2,1,0,3,1,4,1,4,2,1,1,4,4,0,1,0,2,0,4,1,0,5,2,4,4,4,2,0,2,0,1,1,4,4,1,0,0,1,0,1,1,1,1,0,2,1,1,1
795,0,3,1,3,0,0,2,3,1,1,3,2,1,1,1,3,1,0,4,4,4,1,1,1,4,1,4,1,0,2,2,1,0,4,2,2,0,2,4,1,1,4,2,4,2,2,1,0,4,1,1,0,1,2,0,0,0,1,4,0,1
796,4,1,1,3,1,0,1,3,2,1,1,3,2,4,1,1,1,1,4,4,1,1,1,4,1,1,4,1,0,2,0,4,1,0,5,5,2,1,4,1,1,4,1,1,4,2,0,2,1,2,1,0,0,2,4,0,1,4,1,1,1
802,3,1,1,1,2,1,1,3,2,0,2,3,1,1,0,3,1,1,4,4,4,4,1,1,2,2,2,1,0,2,2,4,1,2,1,0,0,4,2,2,0,0,2,0,0,2,0,2,0,4,1,2,1,1,2,1,2,1,4,2,1
803,1,1,2,2,1,2,0,2,2,1,3,2,0,1,2,2,0,3,1,2,4,1,1,1,1,4,2,1,0,2,2,2,1,2,5,1,0,4,2,2,4,2,2,2,1,0,4,2,2,2,1,1,0,2,0,0,2,2,0,1,1
804,1,4,2,0,1,3,0,0,2,1,1,2,1,1,1,1,3,3,2,4,1,1,1,4,4,1,4,1,0,2,0,4,4,0,5,2,4,4,4,2,0,2,0,1,1,4,4,1,0,0,1,0,1,1,1,1,2,2,1,1,1
805,3,1,0,3,1,0,1,3,0,0,2,2,2,0,2,2,2,1,4,1,4,2,4,1,1,1,1,4,0,2,2,4,0,4,2,2,0,0,4,1,4,4,2,1,2,2,1,0,4,1,1,0,1,2,0,2,0,1,1,0,1
806,0,3,1,3,2,0,0,2,1,1,2,3,2,1,1,3,2,2,1,4,2,4,1,4,4,4,2,1,0,2,0,4,1,0,5,1,2,1,0,1,1,1,1,1,0,2,0,2,1,2,1,0,0,2,4,0,1,4,1,0,1
807,4,1,3,1,3,1,3,1,3,1,3,3,1,1,1,1,1,3,2,1,1,1,1,1,4,4,2,1,0,2,2,4,0,2,0,0,1,4,2,1,0,4,2,4,1,1,0,1,1,4,0,2,0,1,2,2,0,4,1,1,1
808,4,4,2,2,3,1,1,0,1,1,0,1,3,1,0,1,3,2,4,4,4,4,2,4,4,4,1,1,0,2,2,0,2,2,0,2,0,2,2,2,0,4,1,2,1,1,1,4,1,1,1,0,2,1,4,0,0,1,0,1,1
809,4,4,2,3,3,1,1,1,0,0,1,1,1,1,3,3,3,1,4,4,1,1,1,4,4,1,1,1,0,2,2,2,2,1,5,2,1,1,2,2,2,0,2,2,1,4,0,4,1,0,0,0,0,2,2,0,4,1,2,1,1
810,0,3,2,1,1,1,0,3,1,1,1,3,0,1,3,1,1,3,1,4,1,1,4,1,0,1,0,1,0,2,0,2,2,2,2,0,1,1,4,1,0,1,1,1,1,0,2,0,1,2,0,2,2,4,2,2,4,2,2,1,1
811,3,0,1,0,2,0,2,1,1,3,2,2,2,4,2,2,2,1,0,4,1,4,2,1,1,1,0,1,0,2,0,1,4,2,2,5,1,1,1,1,1,0,0,2,2,4,2,2,4,2,2,0,2,1,4,2,4,2,4,0,1
812,3,1,0,1,1,1,0,3,2,0,1,1,3,2,2,1,3,1,4,1,1,1,1,1,4,4,1,1,0,2,2,0,2,2,1,5,2,4,2,0,0,2,0,2,1,2,2,1,0,4,4,1,0,1,1,2,4,0,1,4,1
813,1,0,3,0,1,3,3,2,2,1,3,1,3,0,3,3,1,3,2,1,4,4,1,4,1,4,0,1,0,2,2,1,4,2,5,2,2,0,1,0,4,0,1,4,1,0,0,2,0,1,0,2,0,2,1,2,2,1,4,2,1
814,4,1,1,1,3,2,1,1,0,2,1,1,0,1,0,1,0,1,1,4,2,1,4,1,4,4,1,1,0,2,0,4,1,4,2,1,1,1,1,4,2,2,4,1,1,0,2,1,4,0,1,1,4,1,0,1,4,2,2,4,1
815,3,1,3,2,0,3,3,1,3,1,3,1,1,4,1,1,3,1,1,1,4,1,4,4,1,4,2,1,0,2,2,1,4,1,0,0,0,0,0,4,2,0,1,1,0,2,2,1,4,0,0,1,4,0,1,4,1,2,1,4,1
816,1,1,0,3,2,3,3,2,3,1,3,2,1,1,0,3,3,1,4,2,2,1,1,4,4,4,1,1,0,2,0,0,1,0,5,1,0,0,4,2,1,2,2,1,1,0,0,0,4,1,4,0,2,4,4,4,1,1,4,1,1
817,0,4,1,3,3,3,3,3,2,1,3,3,1,4,1,3,2,0,0,1,1,0,0,1,2,0,2,1,0,2,2,2,1,0,2,0,0,1,1,4,1,4,2,0,0,2,0,1,2,1,1,0,1,4,1,1,4,1,1,0,1
819,0,1,2,3,3,3,1,0,3,2,0,0,2,4,3,3,0,3,4,4,4,2,1,1,4,4,1,1,0,2,1,4,4,1,1,0,4,0,4,4,2,2,0,4,4,1,4,4,0,1,1,0,0,4,2,4,0,1,4,2,1
820,1,4,3,0,0,2,2,0,3,3,1,0,1,0,1,2,3,0,4,4,4,4,4,2,4,4,4,1,0,2,2,2,1,4,0,1,1,0,4,0,4,4,4,4,4,4,2,1,1,1,0,2,4,4,4,2,4,4,1,0,1
821,1,4,3,3,1,3,1,1,0,0,0,1,0,4,0,0,0,0,4,0,4,4,4,1,4,4,0,4,0,2,1,4,0,1,1,5,2,1,1,4,4,4,1,4,2,2,0,0,2,0,0,1,4,4,4,2,1,1,0,4,1
822,4,0,0,0,3,1,3,3,1,3,0,2,1,4,1,3,0,3,4,4,4,0,4,4,4,1,0,1,0,2,0,4,4,1,0,5,4,4,0,4,2,0,2,0,4,0,2,1,0,0,2,0,0,2,2,1,0,4,1,1,1
823,4,4,1,0,3,2,0,1,0,3,3,3,3,2,3,3,3,1,1,4,1,4,0,1,0,4,1,4,0,2,2,1,0,2,1,0,0,1,0,2,4,4,0,1,0,0,0,0,2,0,0,4,4,0,0,2,0,2,0,0,1
824,0,4,3,0,0,3,3,3,1,3,0,0,3,4,3,1,3,3,4,4,4,4,4,4,1,1,1,4,0,2,0,0,1,4,2,5,4,0,1,4,0,0,0,1,4,2,0,2,4,1,0,2,0,0,2,4,4,4,0,1,1
825,0,0,0,0,1,3,3,0,3,0,1,3,3,4,0,3,3,3,4,1,1,1,4,2,4,4,2,1,0,2,2,0,0,0,0,0,0,4,1,0,4,2,4,1,1,4,0,1,0,4,0,4,2,4,4,1,4,1,0,0,1
826,0,1,3,3,2,0,0,0,3,0,3,3,3,4,3,1,3,1,1,0,1,0,4,0,4,4,4,1,0,2,4,4,4,4,2,5,4,1,0,4,2,0,0,4,0,4,4,1,0,0,2,0,0,2,0,1,0,4,1,1,1
827,0,0,3,2,3,0,3,0,3,2,3,0,0,4,0,0,3,3,1,4,4,1,0,4,4,4,4,1,0,2,2,0,0,2,0,0,2,0,0,4,4,0,1,0,2,0,0,0,4,0,1,0,4,1,1,0,2,2,0,2,1
828,1,0,2,2,0,1,3,3,0,2,3,3,0,0,0,0,0,0,4,2,1,4,4,1,4,4,4,1,0,2,2,4,4,4,1,5,1,2,4,4,2,1,4,4,0,1,0,1,0,0,0,2,0,0,0,2,1,1,1,1,1
829,1,4,3,0,1,3,3,3,3,3,3,3,3,1,3,1,0,3,4,1,4,1,1,4,0,0,1,1,0,2,2,1,4,2,0,1,0,4,4,0,4,4,0,4,1,2,2,0,1,0,1,4,4,0,4,2,4,0,4,1,1
830,4,1,3,3,2,3,0,3,3,3,3,2,3,4,3,3,2,3,4,4,4,0,0,0,4,1,0,1,0,2,2,4,4,4,1,5,1,0,4,4,0,0,1,1,4,4,2,4,2,0,0,2,1,0,0,0,0,2,1,1,1
831,4,0,3,1,3,2,0,3,3,0,3,2,3,4,3,0,3,3,1,4,4,0,0,4,4,4,4,1,0,2,2,2,0,1,0,0,0,0,0,1,4,2,0,4,4,4,1,0,0,0,0,0,1,4,1,2,4,2,1,4,1
832,3,4,0,3,3,3,0,0,3,0,3,0,3,4,3,3,3,2,1,4,1,0,4,0,4,4,2,1,0,2,2,2,2,0,0,2,0,2,0,0,2,0,1,0,0,0,0,1,2,0,2,4,1,4,4,4,1,0,4,4,1
833,0,4,1,1,1,3,1,1,1,1,0,0,1,1,3,2,3,2,1,1,1,4,4,2,4,1,4,4,0,1,0,2,0,2,1,0,1,4,2,0,1,0,1,2,2,1,4,1,1,1,2,2,2,0,1,1,4,1,2,2,1
834,4,3,0,2,1,1,1,3,2,1,3,1,1,1,1,3,3,3,4,1,4,1,4,1,1,1,2,1,0,2,0,2,0,0,2,1,4,2,0,0,2,0,0,0,0,1,1,0,0,2,0,4,1,0,4,1,4,4,4,2,1
835,1,3,2,2,2,3,3,3,0,3,2,0,0,4,2,2,2,3,2,2,2,1,2,4,4,4,2,1,0,2,2,4,2,2,2,1,1,4,2,2,1,4,1,0,2,2,2,0,0,2,2,2,1,0,1,1,1,0,2,4,1
836,0,4,2,2,1,1,1,1,3,3,1,1,3,1,1,3,3,3,2,1,4,2,4,2,1,1,1,1,0,2,2,0,2,0,1,0,2,4,2,4,4,2,2,0,1,0,4,2,1,4,1,1,2,2,2,0,4,2,1,1,1
837,3,3,2,3,1,1,1,3,2,3,2,0,1,0,3,2,2,3,2,1,1,1,2,1,1,4,2,1,0,2,0,4,4,2,2,0,1,0,2,1,1,1,0,1,0,1,4,2,1,4,2,1,4,2,4,0,4,2,4,2,1
838,1,0,1,2,2,1,1,1,0,3,1,3,1,1,1,1,0,1,0,2,2,4,1,0,0,1,2,1,4,2,0,2,2,2,1,5,1,1,2,4,2,2,0,1,0,2,4,2,4,1,4,4,1,4,1,1,1,0,2,2,1
839,0,0,1,0,0,3,1,1,3,3,3,3,3,4,3,3,1,3,4,1,1,1,4,4,2,1,1,1,0,2,0,1,0,0,2,0,2,4,2,0,2,2,4,4,2,1,4,1,0,4,1,2,2,4,4,4,0,0,0,2,1
840,4,0,1,3,0,1,0,3,3,3,3,3,1,4,0,1,0,3,1,1,4,4,4,2,4,4,4,1,0,2,2,2,4,2,5,5,2,0,4,4,2,1,1,4,4,4,2,1,4,1,0,2,4,0,4,1,4,4,1,0,1
841,0,3,1,0,0,1,3,2,0,0,0,1,1,4,2,1,3,3,4,1,4,4,1,1,0,4,4,4,0,2,1,0,4,0,1,1,1,4,4,4,4,4,2,2,0,2,0,1,0,0,0,4,4,0,4,2,1,0,1,0,1
842,0,0,2,3,2,0,1,3,2,3,3,3,3,4,1,3,3,3,4,4,1,0,0,0,0,4,4,4,0,2,0,4,0,1,5,5,0,4,0,4,2,0,0,0,4,4,2,1,1,0,2,0,0,2,0,1,0,4,1,1,1
843,4,0,0,3,3,3,3,1,0,3,1,0,0,0,3,3,0,3,4,1,1,4,4,4,4,4,2,4,0,2,1,4,1,2,0,5,2,0,0,1,4,4,1,2,2,2,0,4,2,0,0,2,2,2,0,0,2,2,1,4,1
844,4,0,1,1,0,3,3,3,3,2,0,3,3,2,2,1,2,0,4,4,4,4,1,4,4,4,4,4,0,2,2,2,1,0,2,5,0,2,1,4,1,2,1,1,4,2,0,2,1,1,0,2,0,2,0,4,4,4,1,1,1
845,3,4,3,2,0,0,1,0,0,3,3,3,1,1,0,1,1,0,0,1,4,4,0,1,4,4,0,4,0,2,2,1,2,2,0,1,1,4,4,2,1,1,0,0,2,4,0,4,0,4,1,4,2,4,2,0,0,0,0,4,1
846,1,0,0,0,2,3,1,3,0,3,3,3,3,0,3,3,3,3,1,0,4,1,4,4,0,0,4,4,0,2,2,4,4,4,5,5,2,4,0,4,2,0,0,4,0,4,2,1,0,0,2,0,0,2,2,1,0,4,1,1,1
847,4,0,1,3,0,3,3,0,0,1,0,1,0,0,3,3,1,3,4,4,4,0,4,2,4,4,4,1,0,2,4,4,1,2,0,5,2,0,0,4,4,4,0,0,0,1,1,4,1,4,4,2,4,2,2,0,0,2,0,2,1
848,4,3,1,3,2,0,0,0,0,1,0,1,0,4,2,0,1,3,4,1,4,4,4,4,4,4,4,1,0,2,2,1,4,0,5,5,0,2,4,4,1,2,4,4,0,1,0,1,1,0,0,2,0,0,0,2,4,0,1,1,1
849,4,3,0,0,3,3,3,1,3,2,1,3,1,4,1,1,3,2,1,1,4,2,4,4,1,4,4,4,0,2,1,4,0,4,1,1,2,4,2,2,4,1,1,4,2,0,0,1,1,0,2,4,4,0,4,2,4,2,4,2,1
850,4,4,3,3,3,3,3,3,3,3,1,3,3,4,3,3,1,1,0,4,4,1,0,0,0,1,4,1,0,2,4,2,1,0,1,5,4,2,4,4,2,0,2,1,4,1,2,4,2,0,0,0,1,0,1,0,0,2,1,1,1
851,4,1,1,3,0,0,1,0,3,1,3,2,3,1,0,3,2,3,1,4,4,4,2,4,2,4,4,1,0,2,2,2,4,0,0,0,0,0,0,1,4,4,2,4,4,2,1,4,2,1,0,0,2,4,1,0,0,2,1,4,1
852,0,0,2,0,1,3,3,0,3,0,3,3,3,2,3,1,1,3,4,4,4,2,4,4,4,4,4,1,0,2,1,1,4,0,1,1,0,4,2,0,2,0,0,4,0,0,2,0,2,0,0,0,2,0,0,0,0,4,2,0,1
854,4,3,0,1,1,3,2,0,3,1,3,3,3,2,1,3,1,3,1,1,1,1,1,4,2,2,1,1,0,2,4,4,2,0,2,2,0,2,2,0,2,0,0,1,1,1,2,2,0,1,4,4,1,4,2,2,0,0,1,1,1
855,0,3,1,0,0,2,1,1,3,1,0,1,0,1,0,1,3,3,1,4,2,1,4,1,1,4,4,1,0,2,2,2,0,4,2,2,2,2,2,4,2,4,1,4,0,1,2,2,4,2,0,1,0,2,1,4,2,1,1,0,1
856,3,0,2,0,0,2,0,2,1,3,1,0,2,0,2,3,2,3,1,4,1,4,2,4,1,1,1,1,0,2,0,1,0,4,0,1,0,2,4,2,4,0,2,0,1,0,0,2,1,0,4,2,4,2,1,1,0,2,0,1,1
857,0,4,1,2,1,0,3,0,3,1,1,3,2,0,1,1,3,1,4,0,4,1,0,1,1,1,4,1,0,2,2,0,0,0,2,5,1,0,2,4,2,2,2,0,2,4,2,2,4,0,0,1,1,0,1,1,0,1,0,1,1
858,0,0,2,3,1,1,0,1,1,3,2,1,1,1,1,0,3,1,1,4,1,4,2,4,4,1,1,1,0,2,2,4,2,0,5,1,1,4,0,2,2,4,2,2,0,2,2,1,1,2,0,0,0,2,4,0,1,0,4,2,1
859,3,1,3,2,0,2,2,1,1,3,2,2,1,4,1,3,1,3,1,1,1,4,1,1,1,1,2,1,0,2,2,2,4,2,1,1,1,2,2,4,0,1,2,4,2,4,2,2,0,0,1,1,2,1,0,1,4,2,0,2,1
860,1,1,0,2,3,1,0,1,1,0,1,0,2,2,0,1,1,1,1,4,4,2,4,1,1,1,0,1,0,2,2,4,1,4,1,5,4,4,2,0,2,1,1,4,2,2,0,2,0,1,0,4,2,0,0,0,4,0,1,2,1
861,1,0,2,1,0,3,1,3,1,1,1,1,1,1,3,1,3,2,2,1,1,4,4,1,1,4,2,1,0,2,2,4,2,2,5,1,2,1,0,4,1,2,0,1,1,0,4,2,2,4,1,0,4,1,0,4,2,0,0,0,1
862,3,1,3,1,0,0,1,1,0,1,0,2,2,2,0,1,1,1,1,4,1,4,1,4,1,4,2,1,0,2,2,2,1,4,2,2,1,1,1,1,4,2,2,1,0,0,2,2,1,1,1,2,2,2,0,1,0,2,2,0,1
863,1,4,3,1,1,3,0,1,3,2,0,0,0,1,3,2,0,0,1,1,1,4,1,1,0,0,1,1,0,2,2,2,0,2,1,1,1,1,2,0,2,4,0,4,1,2,2,1,0,2,1,0,2,4,1,0,2,1,0,2,1
864,4,3,0,1,1,3,2,0,3,1,3,1,3,0,1,3,1,3,1,1,1,1,1,4,2,2,1,1,0,2,1,4,2,0,2,2,0,2,2,0,2,0,0,1,1,1,2,2,1,1,4,4,1,4,2,2,0,0,1,1,1
865,1,1,1,0,2,2,0,1,3,1,0,1,0,1,0,3,3,3,1,4,2,1,4,1,1,4,4,1,0,2,2,2,4,4,2,2,2,2,2,4,2,1,1,1,0,1,2,2,4,2,0,1,0,2,1,1,0,1,1,0,1
866,0,0,2,3,0,2,0,2,1,3,1,0,2,2,2,3,2,3,1,4,1,1,2,4,4,1,2,1,0,2,0,1,0,4,0,1,0,0,4,2,4,2,2,0,1,0,2,0,1,0,2,2,4,2,1,1,0,2,0,1,1
867,3,4,1,0,1,1,2,0,3,1,1,3,2,0,1,1,3,1,4,2,4,1,0,1,1,1,4,1,0,2,2,0,0,0,2,5,1,0,2,4,0,2,2,0,2,4,2,2,4,2,0,1,1,0,1,1,0,1,0,1,1
868,1,0,0,0,1,1,0,1,1,3,2,1,1,1,1,0,3,1,1,0,4,4,2,4,1,1,4,1,0,2,2,4,2,0,5,1,1,4,4,2,2,1,2,2,0,2,2,1,1,2,1,0,0,2,4,0,1,0,4,2,1
869,3,4,2,2,2,1,3,2,0,0,2,1,1,4,2,2,1,3,1,4,2,4,1,1,1,4,2,1,0,2,2,2,4,2,1,1,4,2,2,4,0,4,2,4,2,4,2,2,0,0,1,1,2,1,0,1,4,2,0,2,1
870,1,1,0,0,3,1,0,1,1,0,1,1,0,0,2,1,3,1,1,4,4,2,4,1,1,1,0,1,0,2,2,1,1,4,1,5,4,4,2,0,2,1,1,1,2,2,0,2,0,1,0,1,2,0,0,0,4,0,4,2,1
871,0,0,2,1,0,3,1,0,1,1,1,1,1,1,3,1,3,2,2,1,1,4,4,1,1,4,2,1,0,2,2,1,2,2,1,1,2,1,0,4,1,2,0,1,1,0,4,2,2,4,1,0,4,1,0,4,2,0,2,2,1
872,4,1,0,0,1,3,0,1,0,2,2,2,0,1,1,1,2,1,0,4,1,4,1,1,1,4,0,1,0,2,2,2,4,4,2,2,1,1,1,1,1,0,2,1,0,0,2,2,1,4,1,0,2,2,0,1,0,2,1,0,1
873,4,3,1,1,1,3,2,0,0,2,3,2,1,0,1,3,1,0,1,1,1,4,1,1,4,0,1,1,0,2,2,2,0,2,1,1,1,1,2,0,4,4,0,1,1,0,2,1,0,2,1,0,2,2,1,2,2,1,2,2,1
874,0,3,2,1,3,2,0,1,1,3,2,0,3,1,3,1,3,0,1,4,1,4,1,1,1,1,1,4,2,2,1,1,0,2,1,5,2,0,2,2,0,2,2,0,2,0,0,1,1,1,2,2,1,1,4,4,1,4,2,2,1
876,1,1,1,0,0,2,1,1,3,1,0,1,0,1,0,3,3,3,1,4,2,4,4,1,1,4,4,1,0,2,2,2,0,4,2,2,2,2,2,4,2,4,1,4,0,1,2,2,4,2,0,1,0,2,1,4,2,1,1,0,1
877,3,0,2,0,0,2,0,2,1,3,1,0,2,0,2,3,2,3,1,4,1,4,2,4,1,1,1,1,0,2,0,1,0,4,0,1,0,0,4,2,4,0,2,0,1,0,0,0,1,0,4,2,4,2,1,1,0,2,0,1,1
878,3,4,1,0,1,0,3,0,3,0,1,3,2,0,1,1,3,1,4,2,0,1,0,1,1,1,4,4,0,2,2,2,0,0,2,5,1,0,2,4,2,2,2,0,2,4,2,2,4,0,0,1,1,0,1,1,0,1,0,1,1
879,0,0,0,3,1,1,0,1,1,3,2,1,1,1,1,0,3,1,1,4,1,4,2,4,4,1,1,1,0,2,2,4,2,0,5,1,1,4,0,2,2,4,2,2,0,2,2,1,1,2,0,0,0,2,4,0,1,0,4,2,1
880,3,1,3,2,0,2,2,1,1,3,2,2,1,4,1,3,1,3,1,1,1,4,1,1,1,1,0,1,0,2,2,2,4,2,1,1,1,2,2,4,0,1,2,4,2,4,2,2,0,0,1,1,2,1,0,1,4,2,0,2,1
884,1,1,1,3,1,1,3,0,1,1,2,2,0,0,1,3,2,0,0,1,1,1,4,1,1,0,0,1,0,2,2,2,0,2,1,1,1,1,2,0,2,4,0,4,1,2,2,1,0,2,1,0,2,4,1,0,2,1,0,2,1
